,episode_no,ep_name,michael,jim_romance,party_office_admin,art_career,odd_assistant_tasks,season,character
16,"(3, 7)",Branch Closing,0.06638703964421169,0.021311082395306075,0.0007510494103008761,0.00354791272899974,3.6879272137685315e-05,3,pam
17,"(3, 8)",The Merger,0.009621770399597869,0.012889274410299727,0.0007452098616381198,0.0027327848422196935,0.0027579652158809154,3,pam
18,"(3, 15)",Ben Franklin,0.006938906000063289,0.9994324239513954,0.0002898213028033295,0.00568753416257387,0.001885402676134292,3,pam
19,"(3, 16)",Phyllis' Wedding,0.0020669754435214964,0.005535751797251476,0.0007452098616381198,0.0069357458714975955,0.0021241177807308042,3,pam
20,"(3, 21)",Product Recall,0.03045204841946989,0.02110861726361957,0.0002461991102047203,0.006379997347724954,0.0007752823473255797,3,pam
21,"(3, 23)",Beach Games,0.3377012463120313,0.549976841126073,0.00040501907638734454,0.999999,0.0012184038870489192,3,pam
22,"(4, 1)",Fun Run (Parts 1&2),0.9948749900564857,0.5205809625036044,0.027789282034823625,0.01351357449423521,0.001191660505356089,4,pam
23,"(4, 5)",Launch Party (Parts 1&2),0.10722156604369384,0.05928858257467651,0.0007480008702584843,0.002983223369941219,0.0008640157262261531,4,pam
24,"(4, 9)",Local Ad,0.10747055740251439,0.8328593410856859,0.00018873114963024513,0.03504439761144708,0.00032336162219206516,4,pam
25,"(4, 11)",Survivor Man,0.06555826216508333,0.00166140692189555,0.0007452098616381198,0.0069423518689954,0.000994204580275103,4,pam
26,"(4, 14)",Chair Model,0.23204982042397213,0.33808078092166044,0.999999,0.006935745871497244,0.0016892291979239077,4,pam
27,"(4, 16)",Did I Stutter?,0.999999,0.022676700330111255,0.0007452098616381198,0.013121291499794291,0.0021487485544288447,4,pam
28,"(4, 18)","Goodbye, Toby (Parts 1&2)",0.0058544025997029035,0.9050085207077695,0.00021900340467966223,0.999999,0.0014140812186405286,4,pam
29,"(5, 1)",Weight Loss (Parts 1&2),0.021779414177027053,0.22488661793980194,0.00035800181364948274,0.999999,0.0007265767578628873,5,pam
30,"(5, 5)",Crime Aid,0.9167541430603652,0.004280839317621238,0.0007452098616381198,0.023505088182531872,0.0021487434455759345,5,pam
31,"(5, 6)",Employee Transfer,0.005701746253688555,0.018438188364581286,0.0010413477569377785,0.999999,0.0019622955317727922,5,pam
32,"(5, 9)",Frame Toby,0.023854367042351124,0.02075765218851676,0.0007452098616381198,0.010882374128959453,0.002142988477771945,5,pam
33,"(5, 10)",The Surplus,0.04905499051341803,0.5587201073397279,0.999999,0.007927688912656659,0.002148757527786267,5,pam
34,"(5, 11)",Moroccan Christmas,0.009621770399597869,0.9790790519014959,0.0007452098616381198,0.006935745871497244,0.002148751971610916,5,pam
35,"(5, 13)",Prince Family Paper,0.3868954252193103,0.0018579394503167666,0.0007452098616381198,0.006935745871497244,0.0021487029705456,5,pam
36,"(5, 18)",Blood Drive,0.05004831256358043,0.001570485727693393,0.0007452098616381198,0.004534126194675675,0.0012051918126554826,5,pam
37,"(5, 22)",Dream Team,0.9874637836480069,0.0009825530347071904,0.0007452098616381198,0.004625951562987887,0.0008444146949865406,5,pam
38,"(5, 24)",Heavy Competition,0.8460936874020754,0.021891831928068674,0.0007452098616381198,0.0037243712228001193,0.0020975627198114785,5,pam
39,"(5, 25)",Broke,0.5211452537943765,0.001997118194523966,0.00034553252728712543,0.0015795894911407266,0.001924128781897954,5,pam
40,"(5, 27)",Cafe Disco,0.009621770399597869,0.34935445301323703,0.0007452098616381198,0.006935745871497244,0.002148759542253072,5,pam
41,"(5, 28)",Company Picnic,0.008249490893319998,0.0039963762505577744,0.0007450612775070756,0.007171685570033186,0.0010802644570840098,5,pam
42,"(6, 1)",Gossip,0.8719894382058269,0.9971278121058494,0.0003638056424725692,0.0019845191913611536,0.0010174307833799732,6,pam
43,"(6, 4)",Niagara (Parts 1&2),0.042387259631527084,0.17388993973592196,0.00024386172399451812,0.006483612672804158,0.0008234210800466236,6,pam
44,"(6, 6)",Mafia,0.006550464067445763,0.005941332214809416,0.0007452098616381198,0.0012698851007429143,0.0021487289175731606,6,pam
45,"(6, 7)",The Lover,0.9299750433493418,0.999999,0.0007451707691750551,0.004242773340410864,0.001792018670479736,6,pam
46,"(6, 9)",Double Date,0.8588506109881929,0.04206231056906231,0.00033265558119276574,0.002022979560944863,0.0006762789761084076,6,pam
47,"(6, 10)",m*rder,0.21484622207768317,0.9907945919437128,0.0007452098616381198,0.0018753523562365434,0.0008851277094576085,6,pam
48,"(6, 11)",Shareholder Meeting,0.009621770399597869,0.00011166199864207036,0.0007452098616381198,0.006935745871497244,0.0021484444856275835,6,pam
49,"(6, 12)",Scott's Tots,0.9931971430101888,0.021105144757451056,0.0007452098616381198,0.006935745871497244,0.002148656021039753,6,pam
50,"(6, 19)",St. Patrick's Day,0.009621770399597869,0.021105144757451056,0.0007452098616381198,0.006934069926263095,0.000289035248729039,6,pam
51,"(6, 21)",Happy Hour,0.8424486401841028,0.0117756578729375,0.00031706866391252104,0.0040287014932072545,0.0020266091313810397,6,pam
52,"(6, 23)",Body Language,0.9683097935384635,0.15290337635535445,9.391553177770452e-05,0.0025313770557887426,0.0013720416895567492,6,pam
53,"(6, 26)",Whistleblower,0.24943660409161228,0.008498103905286557,0.0006499745344664585,0.005393068859958321,0.0018543856765484974,6,pam
54,"(7, 2)",Counseling,0.07682576497926334,0.009794269657200448,0.999999,0.007758592276033901,0.002148706784796963,7,pam
55,"(7, 4)",Sex Ed,0.19591349143720455,0.021105144757451056,0.0007452098616381198,0.006935745871496783,0.0021339276437561954,7,pam
56,"(7, 9)",WUPHF.com,0.28395025329905765,0.018023228522179236,0.0003196068944745947,0.0014000081369503921,0.002148016455945935,7,pam
57,"(7, 13)",Ultimatum,0.07204173717474847,0.004119739679717223,0.0009727302833689379,0.0017770104409473206,0.002491911377395368,7,pam
58,"(7, 14)",The Seminar,0.009621770399597869,0.9158316078161441,0.0002495865832269371,0.028721882251575667,0.002148756318303336,7,pam
59,"(7, 15)",The Search,0.013435197821427812,0.04675671582032446,0.0007452098616381198,0.006935745871497244,0.0021473365969882185,7,pam
60,"(7, 16)",PDA,0.01319705268203994,0.09785719158056011,0.0007452098616381198,0.001705480850652266,0.0011063317984706964,7,pam
61,"(7, 18)",Todd Packer,0.010669519772455723,0.028756270886148468,0.0009961058081410581,0.009494390015932675,0.0027977962143825377,7,pam
62,"(7, 20)",Training Day,0.009621770399597869,0.021105144757451056,0.0007452098616381198,0.006935745871497244,0.0021487591183874753,7,pam
63,"(7, 22)","Goodbye, Michael",0.32204851463070927,0.014557078798004424,0.9998681236939151,0.001503367242992638,0.00034323267179199124,7,pam
64,"(7, 24)","Dwight K. Schrute, (Acting) Manager",0.009621770399597869,0.02131645272027738,0.0007452098616381198,0.006935745871497244,0.002148759542253072,7,pam
65,"(7, 25)",Search Committee (Parts 1&2),0.0035536848895809316,0.026267599336788815,8.366569751271537e-05,0.003994541460332549,0.00115083107187089,7,pam
