,episode_no,ep_name,lines,season,ep,no_char,spacy_doc,clean_doc
15,"(3, 15)",Ben Franklin," what? no. no. [leaves] something's up with jim and karen. not that i've been eavesdropping. it's not really any of my business, but i've gotten pretty good at reading the back of jim's neck. hey. ugh. everything okay? well you seem a little tired. you should get more sleep. never underestimate the power of a good night's sleep. when i get eight hours, compared to like six hours, like, big difference. oh yeah. gotta get your rem cycle going with the whole sleeping. better than not. yeah. don't fall asleep at your desk. [turning towards the vending machine] oh my god. i think that's champagne. but don't you also have girlfriends in paris? like a lot of them? okay ben franklin! ben franklin, do you wear boxers, briefs, or pantaloons? well i like to think that his dad was a ben franklin impersonator and he really pressured him into it. what do you mean? oh yeah. oh no, i was confused by your phrasing. you should definitely go out with jim. i mean, you're going out with jim. i'm not going out with jim. you're dating him, which is awesome, because you guys are great together. i'm not into jim. yeah. yeah. sorry. um, what? nothing. i was just thinking of something else. i know. didn't ben franklin have syphilis? ohhh. yeah, right. god, i need a boyfriend. you know ryan i'm totally ready to be set up with one of your business school friends. whenever. yeah? i lose my appetite all the time. thanks.",3,15,1413," what? no. no. [leaves] something's up with jim and karen. not that i've been eavesdropping. it's not really any of my business, but i've gotten pretty good at reading the back of jim's neck. hey. ugh. everything okay? well you seem a little tired. you should get more sleep. never underestimate the power of a good night's sleep. when i get eight hours, compared to like six hours, like, big difference. oh yeah. gotta get your rem cycle going with the whole sleeping. better than not. yeah. don't fall asleep at your desk. [turning towards the vending machine] oh my god. i think that's champagne. but don't you also have girlfriends in paris? like a lot of them? okay ben franklin! ben franklin, do you wear boxers, briefs, or pantaloons? well i like to think that his dad was a ben franklin impersonator and he really pressured him into it. what do you mean? oh yeah. oh no, i was confused by your phrasing. you should definitely go out with jim. i mean, you're going out with jim. i'm not going out with jim. you're dating him, which is awesome, because you guys are great together. i'm not into jim. yeah. yeah. sorry. um, what? nothing. i was just thinking of something else. i know. didn't ben franklin have syphilis? ohhh. yeah, right. god, i need a boyfriend. you know ryan i'm totally ready to be set up with one of your business school friends. whenever. yeah? i lose my appetite all the time. thanks.",leave jim karen business jim neck ugh sleep power night sleep hour hour difference rem cycle sleeping desk machine champagne girlfriend paris lot ben franklin ben franklin boxer brief pantaloon dad ben franklin impersonator phrasing jim jim jim guy jim franklin syphili god boyfriend business school friend appetite time thank
16,"(3, 3)",The Coup," [walking in with a tray of six popcorn bags] popcorn anyone? [with five popcorn bags left] anyone else? nooo. movie monday started with training videos, but we went through those pretty fast. then we watched a medical video. since then, it's been half hour installments of various movies, with the exception of an episode of entourage, which michael made us watch six times. [on the phone] hey kelly, my stuff just got here. [kelly screams with excitement into the phone and pam has to take it away from her ear] kelly really likes to online shop. soooo, i felt like i wanted some new clothes. i mean, i just, i wanted to, it just, i felt like it was time, to maybe um... just get new clothes. [pulling her new shirt out of a box] ok. really? i don't know. not at work, i'll try it on--- ...noooo [smiling] it's too much. i'm gonna return it. hi. thanks. i have this little vacuum cleaner that's broken. if dwight doesn't work out, maybe that could be manager. what? please go back to your desk. well, i remember why i dress the way i do at work. but i'm gonna keep the clothes. i mean, it'll be cool to just have some after work clothes that aren't pajamas.",3,3,1159," [walking in with a tray of six popcorn bags] popcorn anyone? [with five popcorn bags left] anyone else? nooo. movie monday started with training videos, but we went through those pretty fast. then we watched a medical video. since then, it's been half hour installments of various movies, with the exception of an episode of entourage, which michael made us watch six times. [on the phone] hey kelly, my stuff just got here. [kelly screams with excitement into the phone and pam has to take it away from her ear] kelly really likes to online shop. soooo, i felt like i wanted some new clothes. i mean, i just, i wanted to, it just, i felt like it was time, to maybe um... just get new clothes. [pulling her new shirt out of a box] ok. really? i don't know. not at work, i'll try it on--- ...noooo [smiling] it's too much. i'm gonna return it. hi. thanks. i have this little vacuum cleaner that's broken. if dwight doesn't work out, maybe that could be manager. what? please go back to your desk. well, i remember why i dress the way i do at work. but i'm gonna keep the clothes. i mean, it'll be cool to just have some after work clothes that aren't pajamas.",tray popcorn bag popcorn bag nooo movie monday training video video hour installment movie exception episode entourage michael time phone kelly stuff excitement phone pam ear shop soooo clothe time clothe shirt box work noooo vacuum cleaner dwight manager desk way work clothe work clothe pajama
17,"(3, 2)",The Convention," yeah? no, i didn't. what was oprah about? that's a really big decision. maybe you should wait before you adopt. or not adopt. roy's sister looked into it, and the application alone costs a thousand dollars. you know, she also said the waiting list is like eight months. yeah. you probably won't. no, michael. no, michael. sure. this. thank you. yes, i have a date. he's a cartoonist for the local paper, which is really neat, because i like to draw too. i'm kind of nervous. i haven't been on a first date in nine years... probably shouldn't broadcast that. i'll probably just wear this. um... mm-hmm. hey! what's up? [answering phone] dunder-mifflin, this is pam. he's not in the office. can i take a message? i will. you too. [hangs up] sorry. what's up? okay. well, if you think of it, i'll be here. so how do you come up with your cartoons? you dream in cartoons? how fun! huh. freedom fries. yeah. well, it was, uh, it was really nice meeting you, alan. more freedom fries. that's great. i went on a date. it wasn't a love connection, um... i think when i like someone again, i'll just kinda know.",3,2,1103," yeah? no, i didn't. what was oprah about? that's a really big decision. maybe you should wait before you adopt. or not adopt. roy's sister looked into it, and the application alone costs a thousand dollars. you know, she also said the waiting list is like eight months. yeah. you probably won't. no, michael. no, michael. sure. this. thank you. yes, i have a date. he's a cartoonist for the local paper, which is really neat, because i like to draw too. i'm kind of nervous. i haven't been on a first date in nine years... probably shouldn't broadcast that. i'll probably just wear this. um... mm-hmm. hey! what's up? [answering phone] dunder-mifflin, this is pam. he's not in the office. can i take a message? i will. you too. [hangs up] sorry. what's up? okay. well, if you think of it, i'll be here. so how do you come up with your cartoons? you dream in cartoons? how fun! huh. freedom fries. yeah. well, it was, uh, it was really nice meeting you, alan. more freedom fries. that's great. i went on a date. it wasn't a love connection, um... i think when i like someone again, i'll just kinda know.",decision roy sister application dollar waiting list month michael michael date cartoonist paper date year mm hmm phone dunder mifflin pam office message cartoon cartoon freedom fry meeting alan freedom fry date love connection
18,"(3, 7)",Branch Closing," are you okay? what did jan want? what can't you tell me? what?! you just said that we're gonna be gone...? michael, what's going on? it's a blessing in disguise. actually, not even in disguise. sometimes at home, i answer the phone, ""dunder-mifflin, this is pam."" so, maybe that'll stop now. oh, good... you're bringing dwight. he's not here. i don't know where he is. is it because of michael? did he actually do something? sure, uh, jan... um, do you know, is anyone coming back to scranton? coming to scranton. is anyone coming to scranton? i guess some new people might be coming from stamford. should be fun. new blood. that's, um... i hadn't thought about it, huh. yeah, that might be weird. overall though, we still all have our jobs... so, good news, right? no thanks, guys. have fun though. really? where did you hear that? okay. yeah. yeah, me too. maybe this is good. finding another job is a pain. there's another annoying boss, another desk, i'd have to learn everything all over again. so, there are reasons to stay.",3,7,1031," are you okay? what did jan want? what can't you tell me? what?! you just said that we're gonna be gone...? michael, what's going on? it's a blessing in disguise. actually, not even in disguise. sometimes at home, i answer the phone, ""dunder-mifflin, this is pam."" so, maybe that'll stop now. oh, good... you're bringing dwight. he's not here. i don't know where he is. is it because of michael? did he actually do something? sure, uh, jan... um, do you know, is anyone coming back to scranton? coming to scranton. is anyone coming to scranton? i guess some new people might be coming from stamford. should be fun. new blood. that's, um... i hadn't thought about it, huh. yeah, that might be weird. overall though, we still all have our jobs... so, good news, right? no thanks, guys. have fun though. really? where did you hear that? okay. yeah. yeah, me too. maybe this is good. finding another job is a pain. there's another annoying boss, another desk, i'd have to learn everything all over again. so, there are reasons to stay.",jan michael blessing disguise disguise home phone dunder mifflin pam dwight michael jan scranton scranton scranton people stamford blood job news thank guy fun job pain boss desk reason
19,"(3, 6)",Diwali," really you do. i love the material. i actually might not go. feeling kind of tired. oh, i don't know. i haven't decided yet. i just feel kind of tired, you know. maybe. i just ...i don't really have anyone to go with. very official. i decided to come. uh... i feel a little under-dressed... but at least i'm not dressed like a slutty cheerleader, right? is that mean? can you believe my boss proposed to his girlfriend in public? that is so michael. yeah. hey, would you excuse me for a second? it's hot in there. how's the naan? i am. you should come dance with us. no one. here. [hands drink] yeah. uh... no. well, you were never really engaged. yeah. i kind of thought something would happen tonight too. what are you doing? i'm rejecting your... ...kiss. if you sit in the back. you say one more word; i'm stopping the car.",3,6,828," really you do. i love the material. i actually might not go. feeling kind of tired. oh, i don't know. i haven't decided yet. i just feel kind of tired, you know. maybe. i just ...i don't really have anyone to go with. very official. i decided to come. uh... i feel a little under-dressed... but at least i'm not dressed like a slutty cheerleader, right? is that mean? can you believe my boss proposed to his girlfriend in public? that is so michael. yeah. hey, would you excuse me for a second? it's hot in there. how's the naan? i am. you should come dance with us. no one. here. [hands drink] yeah. uh... no. well, you were never really engaged. yeah. i kind of thought something would happen tonight too. what are you doing? i'm rejecting your... ...kiss. if you sit in the back. you say one more word; i'm stopping the car.",material slutty cheerleader boss girlfriend public michael naan hand tonight word car
20,"(3, 21)",Product Recall," [on phone] yes, i understand. can i transfer you to customer relations? yeah, she has a good point. i mean, for example, with the last thing you said, by the time you explained it, it actually took up more time. we're having a press conference? yes, i'll be sure someone returns your call. i'm so sorry. bye. it's just the scranton times... you know what? i really think the whole thing is just gonna blow over in like a week or two. yes. michael likes me to run the camera when he makes his apology videos. he says he needs a woman's touch. cut. cut. one day for what? ok. cut. that was your best apology video ever. hey, dwight. you look really nice today.",3,21,659," [on phone] yes, i understand. can i transfer you to customer relations? yeah, she has a good point. i mean, for example, with the last thing you said, by the time you explained it, it actually took up more time. we're having a press conference? yes, i'll be sure someone returns your call. i'm so sorry. bye. it's just the scranton times... you know what? i really think the whole thing is just gonna blow over in like a week or two. yes. michael likes me to run the camera when he makes his apology videos. he says he needs a woman's touch. cut. cut. one day for what? ok. cut. that was your best apology video ever. hey, dwight. you look really nice today.",phone customer relation point example thing time time press conference scranton times thing week michael camera apology video woman touch cut day cut apology video dwight today
21,"(3, 16)",Phyllis' Wedding," phyllis... ended up using the exact same invitations as roy and me. so it was kind of like being invited to my own wedding. and i was like 'wait, thought i called that off'. also, pam and roy. that's my dress. what do you mean? oh... um... no. that's... um... that's actually fine okay, that's a lot of good ideas. thanks hey. you're kidding me, right? roy, i picked those flowers. phyllis just stole all of my ideas for our wedding. yeah. it's okay. hey! oh... i'm pacing myself. no. i'm such a dorky dancer. yeah, that's weird. i thought they only played the police.",3,16,569," phyllis... ended up using the exact same invitations as roy and me. so it was kind of like being invited to my own wedding. and i was like 'wait, thought i called that off'. also, pam and roy. that's my dress. what do you mean? oh... um... no. that's... um... that's actually fine okay, that's a lot of good ideas. thanks hey. you're kidding me, right? roy, i picked those flowers. phyllis just stole all of my ideas for our wedding. yeah. it's okay. hey! oh... i'm pacing myself. no. i'm such a dorky dancer. yeah, that's weird. i thought they only played the police.",phyllis invitation roy wedding pam roy dress lot idea thank roy flower phyllis idea wedding dancer police
22,"(4, 1)",Fun Run (Parts 1&2)," it was for a video. a celebrity sex tape. not relevant. not relevant. it all happened so fast. jim and i went to dinner a few times when he got back from new york. i talked him through his break up. it's really nice to be good friends again. and sunday i'm thinking of going to that flea-market at the drive-in. cool. well have fun with that. thank god you were there. oh, michael. hey guys, we're all gonna visit meredith at lunch. and we're kicking in $5 for flowers. no, uh, me stanley and phyllis so far. yeah, i haven't asked him yet. i was planning on it. angela? [to angela] are you coming? can't your other cats keep her company. angela, you're the chairman of the party planning committee. i shouldn't even be planning this, it's your job. ok, we're leaving for the hospital at 1. i can take 3 people. alright, i will get a card at the hospital and we'll sign it outside her room. sales people can go later in the day. hourly works can go at lunch. i... i was thinking that we... but... michael! michael! [to angela] it's gonna be ok. michael, angela's cat died. that's cool. oh me too. [puts hand up for high five] same religion. i can help you with that. [pam's car pulls out of parking lot and then off to the side of the road] i told you i'm not dating anyone. and even if i was, i don't think it's anyone's business. i mean, when i do fall in love, like when it's for real, the last person i'm gonna talk about it too is a camera crew, or my co-workers. [jim gets into the passenger side] almost marrying roy anderson was as close to pamela anderson as i ever want to be. [jim leans over and kisses pam] trust me, when i fall in love, you'll know. michael scott's dunder-mifflin, scranton, meredith palmer memorial, celebrity rabies awareness, fun run race for the cure, this is pam. pro-am race for the... they hung up. what's wrong? hmm... ah. angela, i'm sorry. i'm more of a dog person. well i'm gonna start fast. then i'm gonna run fast in the middle. then i'm gonna end fast. cause they're just stupid. yeah... that was um... yeah, i gave him a ride home because... ... we're dating. ah, yeah. we haven't told anybody, but it's going really great. [looks at jim] right? well a giant check costs about $200.00 to make up. i have a print shop standing by but... what do you think michael, that's over 25% of our funds? giant check it is. not well. a doctor won't come out to collect a check for $700.00, or $500.00 if we go with the giant check. and also there is no such thing as a rabies doctor. i don't think so. michael, 5k means 5 kilometers, not 5 thousand miles. [knocks] hey. oh my god. you said come in! oh my god. so i closed the door but the image of his... ... dangling participle... ... still burned in my eyes. [michael knocks slowly on door] come in. yes. or come in. on average, how many hours a day do you spend naked in your office? just ballpark. they're so not. i didn't see where it started but i saw where it ended. they say if you're nervous around someone you should picture them naked. i do not recommend this strategy. try picturing them with more clothes on... or a funny coat. what? look, no it was not... yeah. [laughs] oh we're in last place. darn it. i don't know i'm really committed to winning. mmm... yes. yeah. [holding lamp] you like it? it's kinda designy and cool, it was $8.00. yeah probably. hey, michael? i'm still having a nice day. yeah. hey michael, look at this lamp. $8.00. and michael, you don't have rabies. and chances are you're not going to get it anytime soon. so... you don't really have to think about it too much. yeah, but there's other, better people out there who are helping. i know you michael, i saw you naked.",4,1,3690," it was for a video. a celebrity sex tape. not relevant. not relevant. it all happened so fast. jim and i went to dinner a few times when he got back from new york. i talked him through his break up. it's really nice to be good friends again. and sunday i'm thinking of going to that flea-market at the drive-in. cool. well have fun with that. thank god you were there. oh, michael. hey guys, we're all gonna visit meredith at lunch. and we're kicking in $5 for flowers. no, uh, me stanley and phyllis so far. yeah, i haven't asked him yet. i was planning on it. angela? [to angela] are you coming? can't your other cats keep her company. angela, you're the chairman of the party planning committee. i shouldn't even be planning this, it's your job. ok, we're leaving for the hospital at 1. i can take 3 people. alright, i will get a card at the hospital and we'll sign it outside her room. sales people can go later in the day. hourly works can go at lunch. i... i was thinking that we... but... michael! michael! [to angela] it's gonna be ok. michael, angela's cat died. that's cool. oh me too. [puts hand up for high five] same religion. i can help you with that. [pam's car pulls out of parking lot and then off to the side of the road] i told you i'm not dating anyone. and even if i was, i don't think it's anyone's business. i mean, when i do fall in love, like when it's for real, the last person i'm gonna talk about it too is a camera crew, or my co-workers. [jim gets into the passenger side] almost marrying roy anderson was as close to pamela anderson as i ever want to be. [jim leans over and kisses pam] trust me, when i fall in love, you'll know. michael scott's dunder-mifflin, scranton, meredith palmer memorial, celebrity rabies awareness, fun run race for the cure, this is pam. pro-am race for the... they hung up. what's wrong? hmm... ah. angela, i'm sorry. i'm more of a dog person. well i'm gonna start fast. then i'm gonna run fast in the middle. then i'm gonna end fast. cause they're just stupid. yeah... that was um... yeah, i gave him a ride home because... ... we're dating. ah, yeah. we haven't told anybody, but it's going really great. [looks at jim] right? well a giant check costs about $200.00 to make up. i have a print shop standing by but... what do you think michael, that's over 25% of our funds? giant check it is. not well. a doctor won't come out to collect a check for $700.00, or $500.00 if we go with the giant check. and also there is no such thing as a rabies doctor. i don't think so. michael, 5k means 5 kilometers, not 5 thousand miles. [knocks] hey. oh my god. you said come in! oh my god. so i closed the door but the image of his... ... dangling participle... ... still burned in my eyes. [michael knocks slowly on door] come in. yes. or come in. on average, how many hours a day do you spend naked in your office? just ballpark. they're so not. i didn't see where it started but i saw where it ended. they say if you're nervous around someone you should picture them naked. i do not recommend this strategy. try picturing them with more clothes on... or a funny coat. what? look, no it was not... yeah. [laughs] oh we're in last place. darn it. i don't know i'm really committed to winning. mmm... yes. yeah. [holding lamp] you like it? it's kinda designy and cool, it was $8.00. yeah probably. hey, michael? i'm still having a nice day. yeah. hey michael, look at this lamp. $8.00. and michael, you don't have rabies. and chances are you're not going to get it anytime soon. so... you don't really have to think about it too much. yeah, but there's other, better people out there who are helping. i know you michael, i saw you naked.",video celebrity sex tape jim dinner time new york break friend sunday flea market drive fun god michael guy meredith lunch flower stanley angela angela cat company angela chairman party planning committee job hospital people card hospital room sale people day work lunch michael michael angela michael angela cat hand religion pam car parking lot road business love person camera crew co worker jim passenger roy anderson pamela anderson jim pam love michael scott dunder mifflin scranton meredith palmer memorial celebrity rabie awareness fun run race cure pam race angela dog person middle ride jim check print shop michael fund check doctor check check thing rabies doctor michael 5k kilometer mile knock door image participle eye michael door hour day office strategy clothe coat laughs place mmm lamp designy michael day michael lamp michael rabie chance people michael
23,"(4, 14)",Chair Model," w.b. jones is renovating their offices and their construction crews are taking up some of the parking spaces we used to get. which just means we get to see more of our lovely street. tell them what we saw today jim. nature. some of us like the walk more than others. [to michael who is looking at a chair catalog] did you pick a new chair? it's been awhile. but instead, you found something to distract you from ever picking out a chair. michael started the process of selecting a new chair about three weeks ago. and normally i wouldn't care, but he promised me his old one. it's way better. it's one of these. [makes a shrrhhh sound of a chair moving downward as pam slumps down] i really want it. her? the one in the really great mesh black high-back swivel chair? or in a great chair. i definitely remember your dinner party. actually, i put the catalog in your hands 'cause you have to pick out a new chair. [on phone] no, he hasn't picked one yet. [to jim] who are you putting down? who is it? yeah, whatever. [jim holds up the card] [pam laughs] give it to me. give it to me. ok michael, you know what? i might have someone for you. no, i mean it. [walks towards michael] she's really nice and sweet and you guys might actually get along. [hands over card to michael] i'm setting michael up with my land lady. she's really sweet and... whatever, i just can't take michael like this. she's sweet and cute. i thought you'd get along. i know. oh i don't care, i didn't really like that place that much anyway. i'll just move. yeah, maybe i'll just move in with my boyfriend 'cause he's kind of a slob, too. no, i umm, well i'm not gonna, i'm, i'm not gonna move in with anyone unless i'm engaged. hmm, i don't, know... oh, right now? ok, so then, when? oh, right, yeah. ohh kay. i've been warned. nice job. i don't know, i kind of hate all our regular places right now. oh, you know what [jim gets down on one knee], that one... [smiling] i hate you. [walks away] oh, oh. how could i have thought that? how could i have thought that?",4,14,2038," w.b. jones is renovating their offices and their construction crews are taking up some of the parking spaces we used to get. which just means we get to see more of our lovely street. tell them what we saw today jim. nature. some of us like the walk more than others. [to michael who is looking at a chair catalog] did you pick a new chair? it's been awhile. but instead, you found something to distract you from ever picking out a chair. michael started the process of selecting a new chair about three weeks ago. and normally i wouldn't care, but he promised me his old one. it's way better. it's one of these. [makes a shrrhhh sound of a chair moving downward as pam slumps down] i really want it. her? the one in the really great mesh black high-back swivel chair? or in a great chair. i definitely remember your dinner party. actually, i put the catalog in your hands 'cause you have to pick out a new chair. [on phone] no, he hasn't picked one yet. [to jim] who are you putting down? who is it? yeah, whatever. [jim holds up the card] [pam laughs] give it to me. give it to me. ok michael, you know what? i might have someone for you. no, i mean it. [walks towards michael] she's really nice and sweet and you guys might actually get along. [hands over card to michael] i'm setting michael up with my land lady. she's really sweet and... whatever, i just can't take michael like this. she's sweet and cute. i thought you'd get along. i know. oh i don't care, i didn't really like that place that much anyway. i'll just move. yeah, maybe i'll just move in with my boyfriend 'cause he's kind of a slob, too. no, i umm, well i'm not gonna, i'm, i'm not gonna move in with anyone unless i'm engaged. hmm, i don't, know... oh, right now? ok, so then, when? oh, right, yeah. ohh kay. i've been warned. nice job. i don't know, i kind of hate all our regular places right now. oh, you know what [jim gets down on one knee], that one... [smiling] i hate you. [walks away] oh, oh. how could i have thought that? how could i have thought that?",w.b jones office construction crew parking space street today jim nature walk michael chair catalog chair chair michael process chair week sound chair pam slump mesh swivel chair chair dinner party catalog hand chair phone jim jim card pam laugh ok michael walk michael guy hand card michael michael land lady michael place boyfriend slob ohh kay job place jim knee
24,"(4, 18)","Goodbye, Toby (Parts 1&2)"," hey, is this dwight? oh my goodness, you sound sexy. have you? dwight? i'm confused... do you mean, leaves as in dies? you want us to throw toby a new orleans' funeral? so how much antigravity potion do you want? hi, can i help you? hey. [kisses jim on cheek] guess who just got into the pratt school of design. oh, thank you! i don't know why i doubted it, because i'm so clearly awesome! i don't know, i didn't read it carefully, i just saw ""congratulations"" and i skimmed the list, i saw my name, i came in here to tell you and get a snack. so, you know it means i have to go to new york for three months... yeah, it sucks, but it'll be great. ohh... [they hug; she laughs] i wouldn't go if things weren't so solid with jim. and down the road, if we have a family, i couldn't go then either. so, the timing's perfect... and that is the first time i've ever used the word ""perfect"" in here! do you like it? it's a photo of everyone in the office. so you can take it to costa rica. well i was taking the picture. sure, do you have a camera here? okay... [enters conference room] did you need me to take notes? okay. toby, why don't you open your present? michael... so what is your gift? what is it? your watch? i just knew. is that the police? absolutely. [dials and hands jim receiver] wow. look at our parking lot. is jim gonna propose tonight? he is, isn't he? no, he's not... is he? [everyone applauds] yay, phyllis! song parody writer. i like that one. i like that one. i'm gonna to miss toby. he has a nice, calming presence in the office. don't tell him i said this, but i always thought he was kinda cute. oh look, they're starting. [all watch fireworks display; scattered applause and cheers; darryl's band plays soft music] oh, yeah, um... sure. meredith, do you mind? i don't know, i just, i really thought jim was gonna propose tonight...",4,18,1853," hey, is this dwight? oh my goodness, you sound sexy. have you? dwight? i'm confused... do you mean, leaves as in dies? you want us to throw toby a new orleans' funeral? so how much antigravity potion do you want? hi, can i help you? hey. [kisses jim on cheek] guess who just got into the pratt school of design. oh, thank you! i don't know why i doubted it, because i'm so clearly awesome! i don't know, i didn't read it carefully, i just saw ""congratulations"" and i skimmed the list, i saw my name, i came in here to tell you and get a snack. so, you know it means i have to go to new york for three months... yeah, it sucks, but it'll be great. ohh... [they hug; she laughs] i wouldn't go if things weren't so solid with jim. and down the road, if we have a family, i couldn't go then either. so, the timing's perfect... and that is the first time i've ever used the word ""perfect"" in here! do you like it? it's a photo of everyone in the office. so you can take it to costa rica. well i was taking the picture. sure, do you have a camera here? okay... [enters conference room] did you need me to take notes? okay. toby, why don't you open your present? michael... so what is your gift? what is it? your watch? i just knew. is that the police? absolutely. [dials and hands jim receiver] wow. look at our parking lot. is jim gonna propose tonight? he is, isn't he? no, he's not... is he? [everyone applauds] yay, phyllis! song parody writer. i like that one. i like that one. i'm gonna to miss toby. he has a nice, calming presence in the office. don't tell him i said this, but i always thought he was kinda cute. oh look, they're starting. [all watch fireworks display; scattered applause and cheers; darryl's band plays soft music] oh, yeah, um... sure. meredith, do you mind? i don't know, i just, i really thought jim was gonna propose tonight...",dwight dwight die toby orleans funeral antigravity potion jim cheek pratt school design congratulation list snack new york month ohh thing jim road family timing time word photo office costa rica picture camera enter conference room note toby present michael gift watch police dial hand jim receiver parking lot jim tonight yay phyllis song parody writer toby presence office firework display applause cheer darryl band music meredith jim tonight
25,"(4, 5)",Launch Party (Parts 1&2)," i saw it. i saw it, and it was amazing! who said i didn't see it? did jim say that i didn't see it? i saw it! michael? this is the press release i was telling you about. ryan wants you to share it with everyone. he does. dwight mercy k*ll angela's cat. it's very complicated. it's caused a lot of unpleasantness between dwight and angela. who are both already prone to unpleasantness. he's going through a break-up. what kind of prank are you thinking? yes it's too tight. dunder mifflin. this is pam. uh, just one second. we're in a meeting and i'll see if he's available. it's jan. one of the tickets is for him. i won. tie goes to the girlfriend. here's a suggestion computer. i assume you read binary so why don't you zero one one, one one one one, zero one one zero one one. hello. um... uh... i'll get back to you. the pizza by alfredo guy is here. i said it normal. michael, ryan wants to introduce the branch managers in a few minutes. you just have to wave and introduce yourself. i'm all over it. yeah, enjoy this moment, because you're never going to go back to this time before you met your desk mate dwight. you came up to my desk, and said, this might sound weird, and there's no reason for me to know this, but that mixed berry yogurt you're about to eat has expired. yep. nope. ah-ha.",4,5,1301," i saw it. i saw it, and it was amazing! who said i didn't see it? did jim say that i didn't see it? i saw it! michael? this is the press release i was telling you about. ryan wants you to share it with everyone. he does. dwight mercy k*ll angela's cat. it's very complicated. it's caused a lot of unpleasantness between dwight and angela. who are both already prone to unpleasantness. he's going through a break-up. what kind of prank are you thinking? yes it's too tight. dunder mifflin. this is pam. uh, just one second. we're in a meeting and i'll see if he's available. it's jan. one of the tickets is for him. i won. tie goes to the girlfriend. here's a suggestion computer. i assume you read binary so why don't you zero one one, one one one one, zero one one zero one one. hello. um... uh... i'll get back to you. the pizza by alfredo guy is here. i said it normal. michael, ryan wants to introduce the branch managers in a few minutes. you just have to wave and introduce yourself. i'm all over it. yeah, enjoy this moment, because you're never going to go back to this time before you met your desk mate dwight. you came up to my desk, and said, this might sound weird, and there's no reason for me to know this, but that mixed berry yogurt you're about to eat has expired. yep. nope. ah-ha.",jim michael press release ryan dwight mercy k*ll angela cat lot unpleasantness dwight angela unpleasantness break kind prank dunder mifflin pam meeting jan ticket tie girlfriend suggestion computer binary pizza alfredo guy michael ryan branch manager minute moment time desk mate dwight desk reason mixed berry yogurt
26,"(4, 9)",Local Ad," i'm taking a computer animation class so i could try to do a logo. no talk, i'm animating. are you serious? oh my god, he's really in pain. who's that? he looks a lot like you. how much time did you spend on that? right... you're a sports writer in philadelphia? nice build too. you have a guitar slung on your back. i did not know you played guitar. no no no, i want to see more of philly jim. i want philly jim. oh boy. maybe, but it's not good enough for me yet. no no, you can go home. i'm good. dunder mifflin, this is pam. thank you. i worked until about 2:45 am. and then i had to decide if i wanted to spend the night with michael editing in his office, and dwight watching michael edit in his office, or drive home and probably fall asleep at the wheel and die in a fiery car wreck. i passed out on my keyboard trying to decide. [on phone] yes? certainly. [makes beeping noises] okay, clear. thanks.",4,9,909," i'm taking a computer animation class so i could try to do a logo. no talk, i'm animating. are you serious? oh my god, he's really in pain. who's that? he looks a lot like you. how much time did you spend on that? right... you're a sports writer in philadelphia? nice build too. you have a guitar slung on your back. i did not know you played guitar. no no no, i want to see more of philly jim. i want philly jim. oh boy. maybe, but it's not good enough for me yet. no no, you can go home. i'm good. dunder mifflin, this is pam. thank you. i worked until about 2:45 am. and then i had to decide if i wanted to spend the night with michael editing in his office, and dwight watching michael edit in his office, or drive home and probably fall asleep at the wheel and die in a fiery car wreck. i passed out on my keyboard trying to decide. [on phone] yes? certainly. [makes beeping noises] okay, clear. thanks.",computer animation class logo talk pain lot time sport writer philadelphia build guitar guitar jim jim dunder mifflin pam night michael office dwight michael edit office wheel car wreck keyboard phone yes noise thank
27,"(4, 16)",Did I Stutter?," michael we don't know what you're talking about... she's talking about the handprints that celebrities make in the cement. [wearing glasses] um... yeah, i slept over at a, uh, friend's house and, i forgot my contact solution, so... i had to wear my backup glasses... shut up. i don't have my contacts... don't, don't-- if you propose to me during a michael meeting, i will say no. oh, thanks. oh, okay... i should probably get back to... entering the.... no. [kevin leaves; pam takes off her glasses; phone rings] dunder mifflin, this is pam. okay, go ahead. [puts a notepad close to her face and writes message] hey, what happened? what did ryan want? because you're very important? what does that mean? i can't find my glasses. okay, okay.",4,16,742," michael we don't know what you're talking about... she's talking about the handprints that celebrities make in the cement. [wearing glasses] um... yeah, i slept over at a, uh, friend's house and, i forgot my contact solution, so... i had to wear my backup glasses... shut up. i don't have my contacts... don't, don't-- if you propose to me during a michael meeting, i will say no. oh, thanks. oh, okay... i should probably get back to... entering the.... no. [kevin leaves; pam takes off her glasses; phone rings] dunder mifflin, this is pam. okay, go ahead. [puts a notepad close to her face and writes message] hey, what happened? what did ryan want? because you're very important? what does that mean? i can't find my glasses. okay, okay.",michael handprint celebrity cement glass friend house contact solution glass contact don't-- michael meeting leave pam glass phone ring dunder mifflin pam notepad face message glass
